,Unnamed: 0,name,lat,lng,avg_2_cost,price_range,agg_rating,rating_text,address,votes,review_count,cuisine
0,0,Food For Thought,18.931243199,72.8315844387,1000,3,4.3,Very Good,"45/47, Kitabkhana, Somaiya Bhavan, Mahatma Gandhi Road, Flora Fountain, Fort, Mumbai",1699,472,Cafe
1,1,Royal China,18.9380073532,72.83291246739999,2500,4,4.4,Very Good,"Hazarimal Somani Marg, Near Sterling Cinema, Fort, Mumbai",2265,513,"Asian, Chinese"
2,2,Shree Thaker Bhojanalay,18.9512018821,72.8282779455,1200,3,4.9,Excellent,"31, Dadisheth Agyari Lane, Off Kalbadevi Road, Kalbadevi, Mumbai",1776,852,Gujarati
3,3,The Bayview Restaurant - Marine Plaza,18.931173110899998,72.8230456263,2500,4,4.2,Very Good,"Hotel Marine Plaza, 29, Marine Drive, Churchgate, Mumbai",1067,591,"Continental, North Indian, Salad"
4,4,The Oriental Blossom - Marine Plaza,18.931173110899998,72.8230456263,3200,4,3.8,Good,"Hotel Marine Plaza, 29, Marine Drive, Churchgate, Mumbai",484,206,"Chinese, Seafood"
5,5,Pizza By The Bay,18.93341116,72.82394987,2000,4,4.3,Very Good,"143, Soona Mahal, Marine Drive, Churchgate, Mumbai",7514,3163,Italian
6,6,Yazdani Bakery & Restaurant,18.9331501543,72.83355586229999,200,1,4.3,Very Good,"Fountain Akbar Ally, Saint Thomas Cathedral, Fort, Mumbai",693,388,"Bakery, Desserts, Fast Food"
7,7,The Sassy Spoon,18.9284935676,72.8223992139,2000,4,4.1,Very Good,"Ground Floor, Express Towers, Ramnath Goenka Marg, Nariman Point, Mumbai",3405,1568,"European, Mediterranean, Asian, Modern Indian, Finger Food, Beverages"
8,8,Kebab Korner - Inter Continental,18.934921,72.826857,3000,4,4.1,Very Good,"135, Netaji Subhash Road, Churchgate, Mumbai",484,282,"North Indian, Mughlai, Kebab, Biryani"
9,9,Trishna,18.9286857579,72.83228080720001,2200,4,4.5,Excellent,"7, Sai Baba Marg, Kala Ghoda, Fort, Mumbai",966,445,"Seafood, North Indian"
10,10,Britannia & Company Restaurant,18.9357401917,72.8390540555,1000,3,4.4,Very Good,"Wakefield House, 11 Sprott Road, 16 Ballard Estate, Fort, Mumbai",3004,1565,"Parsi, Iranian, Biryani"
11,11,The J,19.0257293879,72.8359058127,300,1,4.1,Very Good,"Amar Kunj, Cadel Road, Dadar Shivaji Park, Mumbai",5359,494,"Fast Food, Burger, Beverages"
12,12,Mahesh Lunch Home,19.103674547,72.8269291297,1800,3,4.2,Very Good,"Juhu Tara Road, Juhu, Mumbai",3670,1169,"Seafood, North Indian, Chinese, Mangalorean"
13,13,Long & Short - InterContinental,18.934921,72.826857,3000,4,4.1,Very Good,"135, Netaji Subhash Road, Marine Drive, Churchgate, Mumbai",777,371,"American, Continental, Italian, Mediterranean, North Indian, Pizza, Burger, Fast Food"
14,14,Cafe Mondegar,18.924270400999998,72.8321356326,1300,3,4.4,Very Good,"5A, Metro House, Shahid Bhagat Singh Road, Near Regal Cinema, Colaba, Mumbai",5488,2625,"Continental, Italian, Chinese, Fast Food"
15,15,Pratap Lunch Home,18.9335839971,72.833000645,850,2,4.1,Very Good,"79, Lucky Mansion, Janmabhoomi Marg, Fort, Mumbai",4759,451,"North Indian, Chinese, Mangalorean, Seafood, Mughlai"
16,16,B Bhagat Tarachand,18.9517818618,72.8305675462,550,2,4.4,Very Good,"69/75, Mumbadevi Commercial Center, Zaveri Bazar, Marine Lines, Mumbai",3892,452,"North Indian, Maharashtrian"
17,17,Dark Temptations,18.943054998900003,72.8279369697,350,1,4.3,Very Good,"​24/30, Federation House, Opposite Metro Cinema, Marine Lines, Mumbai",662,266,"Bakery, Desserts"
18,18,Gulshan-e-Iran,18.9480311425,72.8355075046,500,2,4.1,Very Good,"15, Musafir Khana Road, Crawford Market, Mumbai CST Area, Mumbai",11666,717,"Mughlai, Chinese, Fast Food"
19,19,Umame,18.9320179716,72.8283275664,3000,4,4.1,Very Good,"1st Floor, East Wing, Cambata Building, Near Eros Theatre, Churchgate, Mumbai",1426,661,Japanese
20,20,Salt Water Cafe,19.0506834183,72.8271651641,1600,3,4.3,Very Good,"87, Chapel Road, Near Mount Carmel Church, Bandstand, Bandra West, Mumbai",4723,1597,"European, Italian, Salad"
21,21,Gymkhana 91 Bar & Kitchen,18.992774247899998,72.8245329112,1300,3,4.4,Very Good,"1st Floor, Raghuvanshi Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai",3089,1122,"Modern Indian, Asian, Continental"
22,22,Status,19.032170856500002,72.8398114443,1100,3,3.9,Good,"TH Kataria Marg, Near Hinduja Hospital, Mahim West, Mumbai, Mahim, Mumbai",433,220,"Mughlai, North Indian, Continental, Chinese"
23,23,H Paramesha Fast Food Corner,18.930230248900003,72.8335820138,350,1,4.0,Very Good,"210 A, Ambalal Doshi Marg, Rajbhadur Compound Fort, Fort, Mumbai",1183,157,"Fast Food, Juices"
25,25,A.Rama Nayak's Udipi Shri Krishna Boarding,19.0274802699,72.8507072479,400,1,4.8,Excellent,"1st Floor, LBS Market Building, Near Matunga Central Railway Station, Matunga East, Mumbai",1150,547,South Indian
